type,date,n
Target recruitment,Jan-18,18
Target recruitment,Feb-18,32
Target recruitment,Mar-18,50
Target recruitment,Apr-18,64
Target recruitment,May-18,79
Target recruitment,Jun-18,97
Target recruitment,Jul-18,115
Target recruitment,Aug-18,130
Target recruitment,Sep-18,144
Target recruitment,Oct-18,164
Target recruitment,Nov-18,178
Target recruitment,Dec-18,192
Actual recruitment,Jan-18,8
Actual recruitment,Feb-18,12
Actual recruitment,Mar-18,13
Actual recruitment,Apr-18,14
Actual recruitment,May-18,22
Actual recruitment,Jun-18,31
Actual recruitment,Jul-18,41
Actual recruitment,Aug-18,46
Actual recruitment,Sep-18,52
Actual recruitment,Oct-18,57
Actual recruitment,Nov-18,66
Actual recruitment,Dec-18,72
Monthly recruitment,Jan-18,8
Monthly recruitment,Feb-18,4
Monthly recruitment,Mar-18,1
Monthly recruitment,Apr-18,1
Monthly recruitment,May-18,8
Monthly recruitment,Jun-18,9
Monthly recruitment,Jul-18,10
Monthly recruitment,Aug-18,5
Monthly recruitment,Sep-18,6
Monthly recruitment,Oct-18,5
Monthly recruitment,Nov-18,9
Monthly recruitment,Dec-18,6
Site H,Jan-18,
Site H,Feb-18,
Site H,Mar-18,
Site H,Apr-18,
Site H,May-18,
Site H,Jun-18,1
Site H,Jul-18,1
Site H,Aug-18,
Site H,Sep-18,
Site H,Oct-18,
Site H,Nov-18,
Site H,Dec-18,1
Site F,Jan-18,1
Site F,Feb-18,1
Site F,Mar-18,
Site F,Apr-18,
Site F,May-18,3
Site F,Jun-18,2
Site F,Jul-18,1
Site F,Aug-18,3
Site F,Sep-18,2
Site F,Oct-18,
Site F,Nov-18,2
Site F,Dec-18,1
Site E,Jan-18,
Site E,Feb-18,
Site E,Mar-18,
Site E,Apr-18,
Site E,May-18,1
Site E,Jun-18,2
Site E,Jul-18,1
Site E,Aug-18,2
Site E,Sep-18,
Site E,Oct-18,1
Site E,Nov-18,
Site E,Dec-18,
Site B,Jan-18,2
Site B,Feb-18,1
Site B,Mar-18,1
Site B,Apr-18,
Site B,May-18,
Site B,Jun-18,2
Site B,Jul-18,1
Site B,Aug-18,
Site B,Sep-18,2
Site B,Oct-18,1
Site B,Nov-18,5
Site B,Dec-18,
Site D,Jan-18,
Site D,Feb-18,
Site D,Mar-18,
Site D,Apr-18,
Site D,May-18,
Site D,Jun-18,1
Site D,Jul-18,1
Site D,Aug-18,
Site D,Sep-18,2
Site D,Oct-18,1
Site D,Nov-18,
Site D,Dec-18,2
Site G,Jan-18,1
Site G,Feb-18,1
Site G,Mar-18,
Site G,Apr-18,
Site G,May-18,1
Site G,Jun-18,
Site G,Jul-18,2
Site G,Aug-18,
Site G,Sep-18,
Site G,Oct-18,1
Site G,Nov-18,2
Site G,Dec-18,
Site I,Jan-18,
Site I,Feb-18,
Site I,Mar-18,
Site I,Apr-18,1
Site I,May-18,1
Site I,Jun-18,1
Site I,Jul-18,1
Site I,Aug-18,
Site I,Sep-18,
Site I,Oct-18,1
Site I,Nov-18,
Site I,Dec-18,
Site C,Jan-18,4
Site C,Feb-18,
Site C,Mar-18,
Site C,Apr-18,
Site C,May-18,1
Site C,Jun-18,
Site C,Jul-18,1
Site C,Aug-18,
Site C,Sep-18,
Site C,Oct-18,
Site C,Nov-18,
Site C,Dec-18,1
Site A,Jan-18,
Site A,Feb-18,1
Site A,Mar-18,
Site A,Apr-18,
Site A,May-18,1
Site A,Jun-18,
Site A,Jul-18,1
Site A,Aug-18,
Site A,Sep-18,
Site A,Oct-18,
Site A,Nov-18,
Site A,Dec-18,1
